Meta User ID (prop2),Average Page Depth,Page Views,Bounce Rate,Time Spent per Visitor (seconds),Content Velocity,Page Velocity,Visits,Searches
T9_-ZK39TjG5tejbIcE61g,364,24279,0,1537837,674.5,674.53,36,0
1sS-rD7qQ8uq4oTSavmxQA,242,6930,0,378673,239,239.03,29,0
KIQ7WauTQwifm-prE4940w,211,9259,0,510134,330.8,330.82,28,0
RGROm3OUQ06kv7tARinqUg,198,8576,0,305153,209.5,209.54,41,0
wUYowdAVRPeJdoVVvihKGw,159,4506,0.444,290442,62.6,62.64,72,0
7jxrhACkRq2ZsTzoDk1UuQ,151,19442,0,856691,214.1,214.05,91,0
mvrDPtINSTioe27yJWrD8w,142,7959,0,592952,265.3,265.33,30,0
pvx15c-BSFWt6ziv5Vw9KA,142,12780,0,951839,266.3,266.33,48,0
bNr3UMiBQ6mCqteY16Ktcw,129,4991,0.053,355695,131.5,131.5,38,0
qw_MxljvSAK3j1ItALPpWA,125,14616,0,1776327,208.8,208.8,70,0
aLOdEEObQamB4lVFP58wwQ,122,362,0,25372,90.8,90.75,4,0
W1npUj7UTY2YiaKq9Tzxsg,115,2327,0,82676,97.1,97.13,24,0
g3-LtsvFQYupRqE1Sdo9Kw,113,1864,0,200925,98.2,98.21,19,0
i7o_tJyXRqiX68BI2FhOgg,106,5471,0.586,709432,62.9,62.93,87,0
_LZYpgtTQKmGFuGtGuLHXQ,98,13968,0.007,626440,104.3,104.26,134,0
D4FFEgoASGewgoOHKyTkrw,86,1074,0,104033,98,98,11,0
xIB3YBXYTsWTt43uKcCxIg,78,5245,0.117,345648,68.1,68.13,77,0
kXFRk6XpQkOozkxWhF4Sdg,76,4645,0.034,267845,78.8,78.76,59,0
KLJEJczySZCkyTZnGqfoHg,75,2524,0.024,139309,60.6,60.57,42,0
WIHf77JtSJeTcq2lhiUiUw,74,121,0,15609,62,62,2,0
FrxCgp5DRFKJlZLVKwliiQ,69,4420,0,154905,102.9,102.88,43,0
axooJkFgQsOTBmZ9T0v4fQ,68,2729,0.021,75996,57.8,57.75,48,0
bzGNuoYjT_GTQKj0qWs3hQ,67,10631,0,204416,92.5,92.49,115,0
2dWrP8PCSOOG9-D86FlGTw,63,1346,0,184272,64.2,64.19,21,0
acF5CJo7QQSrrGltLFIkVA,62,1157,0,41247,61.4,61.37,19,1
5q73wACuRCmQfGJxNwKbkw,61,829,0,103850,55.3,55.33,15,0
L8sXE7F9SwmOqfrL0o7e5g,61,6024,0.015,240741,45.1,45.1,134,0
Y29VwIsuS3SmNPekpL4Gjg,60,2072,0,42977,69.2,69.17,30,0
olrEJ8d0TgSftzwOWgcItA,60,3604,0.055,304534,49.5,49.55,73,0
UvAt4iclTw2cjqPMxr1mHQ,60,5765,0,79130,68.7,68.7,84,0
V0kYtL-QSByNMz3X1x40bQ,59,868,0.303,36588,26.5,26.45,33,0
EG4JCxEPR2WBLI5IP6DhiQ,59,1691,0,23192,44.8,44.84,38,0
Ensd9HLuQDmjln2rOoOSlw,55,2706,0.033,131969,45.2,45.23,60,0
r4YBZfNaRjqdpyg4wJDn8Q,54,3956,0.128,113051,50.9,50.9,78,0
RmHeFw6mR4ywC2t2j8Ilfw,54,1371,0,58354,55,55.04,25,0
wxhq5v3WRMyHlL1I_MvXbg,52,5321,0.01,338320,51.7,51.72,104,0
ui22CmW9RQ6QXC1_p_g3kQ,52,2074,0,31696,54.9,54.95,38,0
3pyIJsQSS2C-0GaL0tytrQ,52,577,0.05,18791,29.3,29.3,20,0
aht25o9eT5KjolF0mKv6fg,51,4735,0.011,55099,54.6,54.6,87,0
L4W7LxczTfqvSvomyP1fmA,49,4031,0,3054,93.8,93.79,43,0
CYB21F2jRj-jaNfQLv6Jhw,49,687,0,72516,40.6,40.59,17,0
6s3amOfySpajSvI4IT9ebA,48,1592,0.128,37713,41.6,41.62,39,0
gAWjWx_3TEC0SxN-5ICsZw,48,3314,0.132,131704,62.6,62.6,53,0
B6xRo6mmRoCecBhiUAEzSA,47,1870,0.437,221121,18.2,18.22,103,0
tlq5YNa3SkivPtBSDjKvEg,46,2748,0.087,88725,26.6,26.64,104,0
dc4XbEOQShuJHX_UtMWwCw,45,687,0.125,22446,43.8,43.75,16,0
tzwp3zDPSoCZmKTWbQIQ2Q,44,483,0,1014,60.6,60.63,8,0
MGisF1__RRGDBC5PNy1zbg,44,661,0,4583,66.2,66.2,10,0
FKLEjzhwQP2mK1Id-e88qg,43,4910,0.026,109674,63.9,63.91,77,0
eIRB5gYARuSYAYghLQGYvQ,43,780,0,21532,30.3,30.35,26,0
kwYnKI1dSm6L_NKF4l4-gA,42,1485,0,13941,33.2,33.18,45,0
jcFNi-3YSU6d5hM4i6XgxA,42,5055,0.032,120123,53.8,53.83,94,0
IUIxzLxyQBa6PKyIKQSNrg,42,907,0.206,123915,27,27,34,0
q0ANcsdcTl20kTnUx17ZDQ,42,273,0,11059,34.3,34.25,8,0
jh5Btd27T-uo8epEfcAl4w,42,1244,0,101409,59.4,59.38,21,0
YdTHJEzkQf-XuOfCydmXug,42,4032,0.022,24764,45,44.96,90,0
RX7PYKK9TwGj-aB51oQUZw,41,1799,0.028,178075,50.2,50.17,36,0
mXcr0_zCRlWHtVD7MeGrzw,41,575,0.077,20726,44.8,44.85,13,0
QqrJjf9kQQKvzTBfd-O7Sw,41,2279,0.08,431355,30.5,30.55,75,0
qkxOJq-4Q1aWH87SncN_Lg,39,636,0,1452,30.5,30.48,21,0
3HgXX5r3T3-4SO_gq8y0Gg,38,935,0.059,38525,55.1,55.06,17,0
1c2YweIXQLGxd55FeY0P-g,37,279,0,12708,41.4,41.43,7,0
X3XMRdvlSNeEb8eY5NtHfQ,37,1301,0.078,210702,20.3,20.34,64,0
kx6RALQ2T3mITjPSsu9veA,36,2161,0.013,55562,27.5,27.47,79,0
u9au-thPRyeSRtOyFti8Gg,36,1365,0,47397,45.9,45.9,30,0
tU5xp1ebRI6D8id7NlznjQ,36,173,0,8020,22.8,22.75,8,0
dRkmYnEaTU63o8Q2c2km0Q,35,42,0,4167,126,126,1,0
oR25sUadRp-hqIUyNaBxVw,34,284,0,21481,24.3,24.25,12,0
xbyKwOswQDesuhHFDLpMmg,33,233,0,1793,34.6,34.57,7,0
nMEJc6CzRcaoH1X1J44lLw,33,1218,0,62974,29.5,29.48,42,0
ARZURldWS1yRg2Ln62F3ug,33,261,0.111,10651,30.6,30.56,9,0
iOdk78A3T0GfgBkUmQXPfA,33,1496,0.069,242368,26.2,26.16,58,0
NZDzwJ0KSfKfZKycVnHc6Q,33,1466,0.239,17499,21.1,21.08,71,0
vpUKGIq8TwyA-yQBfd_pDg,32,1651,0.016,237697,26.4,26.41,63,0
mcBwKLN7Rwa3_1w88EEAvA,32,568,0,41412,40.6,40.64,14,0
JLnTLGK9TF2e6upQHD-Uiw,31,5232,0.097,74896,26.9,26.92,195,0
Wwc-Pr5ORbWsdyWB_Jgwsg,31,5573,0.086,147585,29.9,29.93,187,0
MEf3vyHVSt-McrsnEuyrtQ,31,399,0,22015,36.7,36.73,11,0
qHqH4AkYR6qLeivG7RN2kQ,30,1209,0.019,45309,22.6,22.57,54,0
dTD9wmGtSUi4CYi_4ZSrgA,30,421,0,18166,28.1,28.13,15,0
DWCfgoC-QIO7r02z5hP__A,29,1645,0,104668,29.6,29.57,56,0
aNaUQ3QeQu2-iDLDyNH09Q,29,1213,0,15897,36.8,36.85,33,0
7-lSjAGpT-qAcIZpvXzFVw,27,729,0.049,10825,12.3,12.31,61,0
cid4EBjqRQSYkACGgitgZg,27,811,0,4674,22.3,22.32,37,0
P1QiBzetT-2izPdlUFoY0w,27,596,0.04,14608,24.2,24.16,25,0
7FJW_3VeRn2RCaIAo3yUTQ,26,312,0.067,5109,22.1,22.07,15,0
yhLyn0YlTYe7SubaZa2vSA,25,1117,0.065,57922,24.4,24.41,46,0
r1ow7EU3RayIg2iky3FANQ,24,518,0.059,6942,15.5,15.47,34,0
cIxs0iqiQ2OEc5mCTkBW8A,23,4182,0.157,733701,10.3,10.25,408,0
b-EIUf_gRo2h4Gxjjlz61A,23,26,0,652,13,13,2,0
